nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
PILARES TETELCO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.21760795,-98.97246166,público
PILARES TIERRA BLANCA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.23935255,-99.00525512,público
PILARES TIERRA Y LIBERTAD,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33864544,-98.9788753,público
PILARES TIXTLA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.50097627,-99.1002618,público
PILARES TLACOPAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.45998897,-99.18960103,público
PILARES TOKIO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.57682262,-99.13486591,público
PILARES TOPILZIN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.32281185,-99.1578583,público
PILARES VALLE DE LUCES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33799343,-99.09812276,público
PILARES XALLI,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Azcapotzalco,19.46429547,-99.15201512,público
PILARES XOCHINAUAC,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Azcapotzalco,19.50995519,-99.18922197,público
PUNTO DE INNOVACION LIBERTAD ARTE EDUCACION Y SABERES PILARES AVENIDA DEL TALLER,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Venustiano Carranza,19.41370351,-99.1133381,público
PUNTOS DE INNOVACION ARTE EDUCACION Y SABERES PILARES COCODRILO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.30210583,-99.0593197,público
PUNTOS DE INOVACION LIBERTAD ARTE EDUCACION Y SABERES PILARES VIADUCTO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Venustiano Carranza,19.40632095,-99.11262381,público
SALON DE USOS MULTIPLES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.39503126,-99.07489078,público
SALUD Y NATURALEZA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33979629,-99.00003809,público
SECRETARIA DE LAS MUJERES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuauhtémoc,19.43219465,-99.14848421,público
SERVICIOS DE ORIENTACIÓN Y TRABAJO SOCIAL PARA LA NIÑEZ Y LA JUVENTUD PRESTADOS POR EL SECTOR PÚBLICO SIN NOMBRE,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33197607,-99.05675244,público
SISTEMA PUBLICO DE CUIDADOS PUERTO DE PALOS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33032406,-99.09881781,público
TALLER IMAGEN Y PERSONALIDAD,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.49560835,-99.08098275,público
UNIDAD DE EDUCACION Y EDUCACION INCLUSIVA 374,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Milpa Alta,19.19311705,-99.01439637,público
UTOPIA TEOTONGO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.35484874,-98.99305989,público
ALZHEIMER MEXICO,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Tlalpan,19.28984752,-99.16973867,privado
AREA VERDA RECREACION Y ESPARCIMIENTO REUNION DE ADULTOS MAYORES COLIBRI,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Iztapalapa,19.3267185,-99.09317849,privado
ASOCIACION PARA LA INTEGRACION PERSONAS CON DISCAPACIDAD,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,La Magdalena Contreras,19.31502274,-99.22650785,privado
CASA DE LA TERCERA EDAD SANTA CECILIA,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Iztapalapa,19.35964856,-99.13458365,privado
CASA DE RETIRO PARA MADRES ADULTAS MAYORES,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Tlalpan,19.29056218,-99.16592545,privado
CASA DEL ADULTO MAYOR,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Iztapalapa,19.37949096,-99.10559942,privado
CASA HOGAR DE NUESTRA SEÑORA DE LOS ANGELES,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Iztapalapa,19.33293375,-99.09835057,privado
CASA RAICES,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Gustavo A. Madero,19.48533564,-99.12321612,privado
CASA YEKKAN,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Cuajimalpa de Morelos,19.36640689,-99.28201091,privado
