stop_id,stop_name,grupo_stop_id
01ITEC10-AV3ACALZVALL,Av. 3A y Calz. Vallejo,220
0100Z140-AV3A,Av. 3A,220
0100Z140-PROGRESONAL,Progreso Nacional,221
0100Z140-CALLE5,Calle 5,222
0100Z140-ROJOGOMEZ,Rojo Gómez,223
0100Z140-CALLE4,Calle 4,224
0100Z140-CJONEZAPATA,Callejón Emiliano Zapata,225
0100Z140-2DACDAEZAPAT,2da cerrada Emiliano Zapata,226
0100Z140-JUVENTINOROS,Juventino Rosas,227
0100Z140-CALLE10,Calle 10,228
0100Z140-VENTISCA,Ventisca,229
0100Z140-AVACUEDUCTO,Av. Acueducto,230
0100Z140-CHEDRAUI,Chedraui,231
0100Z140-51TEMOLUCO,51 del Temoluco,232
0100Z140-TUBERIAS,Tuberias,233
0100Z140-PROINDUSTRIA,Promoción Industrial,234
0100Z140-SOLIDARIDAD,Solidaridad,235
0100Z140-LUISESPINOZA,Luis Espinoza,236
0100Z140-15DICIEMBRE,15 de Diciembre,237
0100Z140-EZAPATA,Emiliano Zapata,238
0100Z140-BJUAREZ,Benito Juárez,239
0100Z140-TENAYCHALMIT,Tenayuca - Chalmita,240
0100Z140-AROANOVA,Antonio Roanova,241
0100Z140-GABINOBARRED,Gabino Barreda,242
0100Z140-JAIMENUNO,Jaime Nuno,243
0100Z140-TECNOLOGICO,Av. Tecnológico,244
0100Z140-CIPRES,Cipres,245
0100Z140-EDOMEX,Estado de México,246
0100Z140-5MAYO,5 de Mayo,247
0100Z140-2DAFCOVILLA,2da Francisco Villa,248
0100Z140-DIAZORDAZ,Díaz Ordaz,249
0100Z140-MORELIA,Morelia,250
0100Z140-1RAFCOVILLA,1ra Francisco Villa,251
0100Z140-FCOVILLA,Francisco Villa,252
0100Z140-RANCHGRANDE,Rancho Grande,253
0100Z140-MLERDOTEJAD,Miguel Lerdo de Tejada,254
0100Z140-SANMIGUEL2,San Miguel,255
0100Z140-SANMIGUEL,San Miguel,256
0100Z140-GONZALOCURI,Gonzalo Curiel,257
0100Z140-GUTYCARDENS,Guty Cárdenas,258
0100Z140-CRROCONEJOS,Cerro de los Conejos,259
0100Z140-BARRCOBRE,Barranca del Cobre,260
0100Z140-CRROCHAPULT,Cerro de Chapultepec,261
0100Z140-CRROCUBILET,Cerro del Cubilete,262
0100Z140-INDIABONITA,India Bonita,263
0100Z140-CERROAZUL,Cerro Azul,263
0100Z140-BSCERROGORD,Base Cerro Gordo,264
0100Z140-LMESCONDIDA,Loma Escondida,265
0100Z140-CDASNMIGUEL,Cerrada San Miguel,266
0100Z140-BARRCHICA,Barranca Chica,267
0100Z140-AQSERDAN,Aquiles Serdán,268
0100Z140-SNMIGUEL,San Miguel,269
0100Z140-IGCOMONFORT,Ignacio Comonfort,270
0100Z140-BRISAS,Brisas,271
0100Z140-BASEMIGUEL,Base Miguel,272
0100Z140-AMAPOLAS,Amapolas,272
0100Z120-AVTEMOLUCO,Av. Temoluco,273
0100Z120-ENRICOMART,Enrico Mart,274
0100Z120-BALDERAS,Balderas,275
0100Z120-TRESGUERRAS,Tres Guerras,276
0100Z120-ATENAS,Atenas,277
010C1901-MRLSREFORM,Morelos  - Paseo de la Reforma,278
0100Z120-REFORMA,Reforma,278
0100Z120-ANTONIOCASO,Antonio Caso,279
0100Z120-VALLARTA,Vallarta,280
0100Z120-PONCIANOARR,Ponciano Arriaga,281
0100Z120-TOMASEDISON,Tomás Alba Edisón,282
010C1201-ALVAEDIARRIA,Tomas Alva Edison y Ponciano Arriaga,282
0100Z120-TOMASALBAE,Tomás Alba Edisón,283
0100Z120-PASEOREFORM,Paseo de la Reforma,283
0100Z120-IGNMARISCAL,Ignacio Mariscal,284
0100Z120-MIGUELHGO,Miguel Hidalgo,285
010C1600-ALVMETROHGO,Puente de Alvarado - Metro Hidalgo,285
010C1601-ALVGUERRERO,Puente de Alvarado - Guerrero,285
0100Z120-BUENAVISTA,Buenavista,286
0100Z120-HERFERROCAR,Héroes Ferrocarrileros,287
0100Z120-DONCELES,Donceles,288
0100Z120-MINA,Mina,289
0100Z120-JMENESES,J. Meneses,290
0100Z120-REPECUADOR,República Ecuador,291
0100Z120-LUNA,Luna,292
0100Z120-MANUCARPIO,Manuel Carpio,293
0100Z120-EJ2NTE,Eje 2 Norte,294
0100Z120-CALZSANSIMON,Calz. San Simón,295
0100Z120-EJE1PTE,Eje 1 Poniente,296
0100Z120-EJ1PTE,Eje 1 Poniente,297
0100Z120-VALLEJO,Vallejo,298
0100Z120-ENRIGRANADS,Enrique Granados,299
0100Z120-DEBUSSY,Debussy,300
0100Z120-JUVENTINORSS,Juventino Rosas,301
01020B00-JUVEROSEJECENT,Juventino Rosas - Eje Central,301
0100Z120-CHOPIN,Chopin,302
0100Z120-MASSENET,Massenet,303
0100Z120-CTOINTERIOR,Circuito Interior,304
0100Z120-AVEJECNTRAL,Av. Eje Central,305
